batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
e0f445fe-bcc2-460f-bb47-1817aa210cef,4,2024-01-18 07:54:53.766464,foldingdiff,backbone_pdb_generation,length = 718,T4 GPU,43.234042167663574 Seconds,10.808510541915894 Seconds (inferred),foldingdiff_len718_409e48d3-680b-4c13-b41b-485b4efbc4b3.pdb,409e48d3-680b-4c13-b41b-485b4efbc4b3
e0f445fe-bcc2-460f-bb47-1817aa210cef,4,2024-01-18 07:54:53.766464,foldingdiff,backbone_pdb_generation,length = 718,T4 GPU,43.234042167663574 Seconds,10.808510541915894 Seconds (inferred),foldingdiff_len718_1d1633f1-f324-4a04-8c8b-56f728db2ae2.pdb,1d1633f1-f324-4a04-8c8b-56f728db2ae2
e0f445fe-bcc2-460f-bb47-1817aa210cef,4,2024-01-18 07:54:53.766464,foldingdiff,backbone_pdb_generation,length = 718,T4 GPU,43.234042167663574 Seconds,10.808510541915894 Seconds (inferred),foldingdiff_len718_56c5b886-061e-44fa-815b-b5bca00fd73b.pdb,56c5b886-061e-44fa-815b-b5bca00fd73b
e0f445fe-bcc2-460f-bb47-1817aa210cef,4,2024-01-18 07:54:53.766464,foldingdiff,backbone_pdb_generation,length = 718,T4 GPU,43.234042167663574 Seconds,10.808510541915894 Seconds (inferred),foldingdiff_len718_b47aa725-f0a5-4a31-a195-3e9ad9369b8a.pdb,b47aa725-f0a5-4a31-a195-3e9ad9369b8a
2886fdff-965f-41d8-859c-a83e1f618fa4,4,2024-01-18 07:55:37.235866,foldingdiff,backbone_pdb_generation,length = 719,T4 GPU,41.84240531921387 Seconds,10.460601329803467 Seconds (inferred),foldingdiff_len719_0d09bd62-5c26-401b-879a-d589ad9d6364.pdb,0d09bd62-5c26-401b-879a-d589ad9d6364
2886fdff-965f-41d8-859c-a83e1f618fa4,4,2024-01-18 07:55:37.235866,foldingdiff,backbone_pdb_generation,length = 719,T4 GPU,41.84240531921387 Seconds,10.460601329803467 Seconds (inferred),foldingdiff_len719_3c4e9159-77a8-4e21-acfa-5becf71b3c91.pdb,3c4e9159-77a8-4e21-acfa-5becf71b3c91
2886fdff-965f-41d8-859c-a83e1f618fa4,4,2024-01-18 07:55:37.235866,foldingdiff,backbone_pdb_generation,length = 719,T4 GPU,41.84240531921387 Seconds,10.460601329803467 Seconds (inferred),foldingdiff_len719_821f264f-9c7f-4745-8f63-bc6da6a2bfd2.pdb,821f264f-9c7f-4745-8f63-bc6da6a2bfd2
2886fdff-965f-41d8-859c-a83e1f618fa4,4,2024-01-18 07:55:37.235866,foldingdiff,backbone_pdb_generation,length = 719,T4 GPU,41.84240531921387 Seconds,10.460601329803467 Seconds (inferred),foldingdiff_len719_39203a23-beee-42df-b532-3a3e6dada056.pdb,39203a23-beee-42df-b532-3a3e6dada056
3c06b37a-eb55-433a-bce6-f5f5ed3b1e15,1,2024-01-18 07:56:19.382888,foldingdiff,backbone_pdb_generation,length = 720,T4 GPU,42.93865418434143 Seconds,42.93865418434143 Seconds (inferred),foldingdiff_len720_ffec50a7-0beb-439b-810a-33cc2f068957.pdb,ffec50a7-0beb-439b-810a-33cc2f068957
bb6598ed-8e44-478e-86c9-ca31b2205ffc,2,2024-01-18 07:57:02.558464,foldingdiff,backbone_pdb_generation,length = 721,T4 GPU,42.02780556678772 Seconds,21.01390278339386 Seconds (inferred),foldingdiff_len721_84f25e49-452d-46f2-b775-8f53501ee375.pdb,84f25e49-452d-46f2-b775-8f53501ee375
bb6598ed-8e44-478e-86c9-ca31b2205ffc,2,2024-01-18 07:57:02.558464,foldingdiff,backbone_pdb_generation,length = 721,T4 GPU,42.02780556678772 Seconds,21.01390278339386 Seconds (inferred),foldingdiff_len721_31f8fd26-343e-4d8a-b32d-c8ad5edf964c.pdb,31f8fd26-343e-4d8a-b32d-c8ad5edf964c
7572931f-f12c-4dc6-8661-46e45048ebd1,4,2024-01-18 07:57:44.820363,foldingdiff,backbone_pdb_generation,length = 722,T4 GPU,41.54142999649048 Seconds,10.38535749912262 Seconds (inferred),foldingdiff_len722_7c963620-2b27-4a58-8b6f-e4e77b9c5613.pdb,7c963620-2b27-4a58-8b6f-e4e77b9c5613
